"Order ID","Customer ID","Product ID",Sales,Quantity
CA-2016-152156,CG-12520,FUR-BO-10001798,261.96,2
CA-2016-152156,CG-12520,FUR-CH-10000454,731.94,3
US-2015-108966,SO-20335,FUR-TA-10000577,957.58,5
CA-2014-115812,BH-11710,TEC-PH-10002275,907.15,6
CA-2014-115812,BH-11710,FUR-TA-10001539,1706.18,9
CA-2014-115812,BH-11710,TEC-PH-10002033,911.42,4
CA-2016-161389,IM-15070,OFF-BI-10003656,407.98,3
CA-2014-105893,PK-19075,OFF-ST-10004186,665.88,6
CA-2015-106320,EB-13870,FUR-TA-10000577,1044.63,3
US-2015-150630,TB-21520,FUR-BO-10004834,3083.43,7
CA-2016-117590,GH-14485,TEC-PH-10004977,1097.54,7
CA-2015-117415,SN-20710,FUR-BO-10002545,532.4,3
CA-2015-117415,SN-20710,TEC-PH-10000486,371.17,4
CA-2016-105816,JM-15265,TEC-PH-10002447,1029.95,5
CA-2016-111682,TB-21055,FUR-CH-10003968,319.41,5
CA-2014-106376,BS-11590,OFF-AR-10002671,1113.02,8
US-2015-134026,JE-15745,FUR-CH-10000513,831.94,8
CA-2017-140088,PO-18865,FUR-CH-10000863,301.96,2
US-2015-156867,LC-16870,TEC-AC-10001552,238.9,6
CA-2015-129476,PA-19060,TEC-AC-10000844,339.96,5
CA-2015-110457,DK-13090,FUR-TA-10001768,787.53,3
US-2014-152030,AD-10180,FUR-CH-10004063,600.56,3
US-2014-134614,PF-19165,FUR-TA-10004534,617.7,6
US-2017-107272,TS-21610,OFF-ST-10002974,243.99,7
US-2016-125969,LS-16975,FUR-FU-10003773,238.56,3
CA-2017-155376,SG-20080,OFF-AP-10001058,839.43,3
CA-2015-110744,HA-14920,OFF-ST-10003656,671.93,7
CA-2016-114489,JE-16165,TEC-PH-10000215,384.45,11
CA-2016-114489,JE-16165,FUR-CH-10000454,1951.84,8
CA-2014-104269,DB-13060,FUR-CH-10004063,457.57,2
CA-2016-114104,NP-18670,TEC-PH-10004536,944.93,7
CA-2014-139892,BM-11140,TEC-MA-10000822,8159.95,8
CA-2014-139892,BM-11140,OFF-ST-10000991,275.93,3
CA-2014-139892,BM-11140,FUR-CH-10004287,1740.06,9
CA-2014-118962,CS-12130,FUR-CH-10003817,340.14,7
US-2015-101511,JE-15745,FUR-CH-10004698,396.8,7
CA-2014-166191,DK-13150,TEC-AC-10004659,408.74,7
CA-2014-158274,RM-19675,TEC-PH-10003273,503.96,4
CA-2015-102281,MP-17470,FUR-BO-10002613,899.14,4
CA-2015-102281,MP-17470,FUR-BO-10002545,626.35,3
CA-2017-108329,LE-16810,TEC-PH-10001918,444.77,4
CA-2015-146262,VW-21775,FUR-BO-10004695,452.45,5
CA-2015-146262,VW-21775,TEC-MA-10000864,1188,9
CA-2016-130162,JH-15910,TEC-PH-10002563,302.38,3
CA-2015-169397,JB-15925,TEC-MA-10001148,479.99,4
CA-2015-163055,DS-13180,FUR-TA-10003748,622.45,5
US-2015-145436,VD-21670,FUR-CH-10004477,389.7,8
US-2017-100930,CS-12400,FUR-TA-10003473,620.61,3
US-2017-100930,CS-12400,FUR-FU-10004017,258.07,3
US-2017-100930,CS-12400,TEC-AC-10003832,617.98,3
CA-2016-157749,KL-16645,FUR-FU-10000576,419.68,5
CA-2014-131926,DW-13480,FUR-CH-10004063,2001.86,7
CA-2014-131926,DW-13480,OFF-AP-10002945,1503.25,5
CA-2016-154739,LH-17155,FUR-CH-10002965,321.57,2
CA-2016-145625,KC-16540,TEC-AC-10003832,3347.37,13
CA-2016-146941,DL-13315,OFF-EN-10003296,361.92,4
US-2015-159982,DR-12880,TEC-PH-10001580,647.9,6
US-2014-106992,SB-20290,TEC-MA-10000822,3059.98,3
US-2014-106992,SB-20290,TEC-MA-10003353,2519.96,7
CA-2016-125318,RC-19825,TEC-PH-10001433,328.22,4
CA-2017-163979,KH-16690,OFF-ST-10003208,725.84,4
US-2015-161991,SC-20725,TEC-PH-10001760,1114.4,7
CA-2015-130890,JO-15280,FUR-TA-10002903,1038.84,5
CA-2015-130883,TB-21520,TEC-AC-10001956,239.8,5
CA-2016-112697,AH-10195,OFF-BI-10000778,254.06,7
CA-2016-112697,AH-10195,OFF-SU-10000646,961.48,5
CA-2016-110772,NZ-18565,TEC-AC-10002001,255.98,2
CA-2014-111451,KL-16555,FUR-FU-10004091,300.42,8
CA-2014-111003,CR-12625,OFF-AR-10002135,289.2,6
CA-2016-142902,BP-11185,FUR-CH-10004086,466.77,2
CA-2014-164973,NM-18445,TEC-MA-10002927,3991.98,2
CA-2014-164973,NM-18445,TEC-PH-10004093,275.94,6
CA-2014-164973,NM-18445,TEC-AC-10000892,360,4
CA-2016-162138,GK-14620,OFF-BI-10004593,251.52,6
US-2016-141544,PO-18850,TEC-PH-10003645,290.9,3
US-2016-141544,PO-18850,FUR-CH-10003312,786.74,4
CA-2015-137946,DB-13615,TEC-CO-10001449,959.98,2
CA-2014-129924,AC-10420,FUR-TA-10004575,698.35,3
CA-2014-122336,JD-15895,OFF-BI-10003656,509.97,10
CA-2016-129714,AB-10060,OFF-BI-10004995,4355.17,4
CA-2016-138520,JL-15505,FUR-BO-10002268,388.7,6
CA-2017-155698,VB-21745,OFF-AP-10001124,647.84,8
CA-2017-144904,KW-16435,FUR-CH-10000785,488.65,3
CA-2016-155516,MK-17905,FUR-BO-10002545,1043.92,4
US-2014-119137,AG-10900,TEC-AC-10003911,1023.94,8
US-2014-119137,AG-10900,TEC-AC-10002076,479.04,10
US-2017-134481,AR-10405,FUR-TA-10004915,1488.42,7
US-2015-168935,DO-13435,FUR-TA-10000617,375.46,3
CA-2015-122756,DK-13225,TEC-MA-10001681,482.34,4
US-2014-135972,JG-15115,TEC-PH-10003012,246.38,2
US-2014-135972,JG-15115,TEC-CO-10002313,1799.97,3
CA-2016-108987,AG-10675,FUR-BO-10004834,2396.27,4
CA-2017-117457,KH-16510,TEC-CO-10004115,1199.98,3
CA-2017-117457,KH-16510,FUR-TA-10002041,1004.02,7
CA-2017-117457,KH-16510,FUR-BO-10001972,1336.83,13
CA-2017-142636,KC-16675,FUR-CH-10001891,307.14,4
CA-2016-148796,PB-19150,FUR-CH-10004886,383.8,5
CA-2017-155705,NF-18385,FUR-CH-10000015,866.4,4
CA-2017-149160,JM-15265,OFF-BI-10001543,287.92,8
US-2016-123750,RB-19795,TEC-AC-10004659,408.74,7
US-2016-123750,RB-19795,TEC-AC-10004659,291.96,5
CA-2016-127369,DB-13060,OFF-ST-10003306,714.3,5
US-2014-150574,MK-18160,TEC-AC-10002600,247.8,5
CA-2016-147375,PO-19180,TEC-MA-10002937,1007.98,3
CA-2016-147375,PO-19180,OFF-PA-10001970,313.49,7
CA-2016-115756,PK-19075,FUR-CH-10002372,242.94,3
CA-2016-166674,RB-19360,OFF-AR-10001953,263.88,6
CA-2017-147277,EB-13705,FUR-TA-10001539,284.36,2
CA-2017-147277,EB-13705,OFF-ST-10000142,665.41,2
US-2016-157945,NF-18385,FUR-CH-10002331,747.56,3
CA-2015-109638,JH-15985,TEC-AC-10004571,899.91,9
CA-2016-109869,TN-21040,FUR-TA-10001889,1272.63,6
US-2015-101399,JS-15940,FUR-FU-10002918,254.74,7
CA-2014-144666,JP-15520,OFF-ST-10002743,340.92,3
CA-2014-144666,JP-15520,TEC-PH-10002680,703.97,4
CA-2016-100790,JG-15805,OFF-ST-10000689,704.25,5
CA-2017-140963,MT-18070,FUR-BO-10001337,514.17,5
CA-2017-140963,MT-18070,TEC-PH-10001924,279.96,5
CA-2014-154627,SA-20830,TEC-PH-10001363,2735.95,6
CA-2014-113362,AJ-10960,OFF-ST-10001809,449.15,5
CA-2016-126158,SC-20095,FUR-FU-10004864,255.76,4
CA-2016-126158,SC-20095,FUR-CH-10002602,241.57,2
US-2016-105578,MY-17380,FUR-CH-10001215,801.57,2
CA-2015-145352,CM-12385,OFF-BI-10003527,6354.95,5
CA-2017-127432,AD-10180,TEC-CO-10003236,2999.95,5
CA-2017-127432,AD-10180,OFF-ST-10004459,1126.02,3
CA-2017-113558,PH-18790,FUR-CH-10003379,683.95,3
US-2015-138303,MG-18145,OFF-SU-10002881,666.25,1
CA-2016-168753,RL-19615,TEC-PH-10000984,979.95,5
CA-2015-134894,DK-12985,FUR-CH-10002647,283.92,4
CA-2014-140795,BD-11500,TEC-AC-10001432,468.9,6
CA-2016-136924,ES-14080,TEC-PH-10002262,380.86,8
US-2015-120161,LM-17065,OFF-ST-10001809,646.78,9
CA-2015-113173,DK-13225,OFF-ST-10000604,250.27,9
CA-2016-136406,BD-11320,FUR-CH-10002024,1121.57,2
CA-2017-100650,DK-13225,OFF-ST-10001780,1295.78,2
CA-2016-113243,OT-18730,FUR-TA-10004256,1335.68,4
CA-2017-137099,FP-14320,TEC-PH-10002496,374.38,3
CA-2017-156951,EB-13840,FUR-CH-10004997,451.15,3
CA-2017-145233,DV-13465,TEC-PH-10004977,470.38,3
CA-2017-145233,DV-13465,TEC-PH-10001254,406.37,4
CA-2015-128139,BD-11725,OFF-LA-10003930,294.93,3
CA-2014-131450,LR-16915,TEC-CO-10004115,1199.98,3
CA-2014-131450,LR-16915,TEC-PH-10002398,445.96,5
CA-2014-131450,LR-16915,FUR-FU-10001979,327.76,8
US-2016-100720,CK-12205,TEC-PH-10003963,494.38,4
CA-2016-161816,NB-18655,TEC-PH-10003012,369.58,3
CA-2016-121223,GD-14590,TEC-PH-10004667,728.95,9
CA-2015-138009,SF-20965,FUR-CH-10004853,301.96,2
