"Customer ID",Total_Sales,SalesRank
SM-20320,150258.40000000008,1
TC-20980,114107.09799999998,2
RB-19360,90704.08899999998,3
TA-21385,87573.71999999996,4
AB-10105,86133.66100000001,5
SC-20095,84854.03399999999,6
KL-16645,84431.51700000004,7
HL-15040,77239.798,8
SE-20110,73256.638,9
CC-12370,72774.47200000001,10
TS-21370,71315.221,11
GT-14710,70920.71999999996,12
BM-11140,69659.45000000001,13
SV-20365,68523.84600000002,14
CJ-12010,66478.442,15
CL-12565,65283.34599999998,16
ME-17320,63815.51800000002,17
KF-16285,63625.56599999999,18
BS-11365,63009.90300000003,19
EH-13765,60035.830000000016,20
JL-15835,56418.10300000005,21
GT-14635,56107.212,22
HW-14935,55801.50399999999,23
TB-21400,54076.44199999998,24
PF-19120,53882.94599999998,25
CM-12385,53724.069999999956,26
JD-16150,52968.23049999999,27
JE-15715,52033.06299999998,28
LA-16780,51789.17200000004,29
DR-12940,50105.21799999997,30
NF-18385,49936.92599999998,31
KD-16270,49694.158,32
NC-18535,49450.43899999998,33
KD-16495,49087.45600000001,34
PK-19075,48951.90400000001,35
HM-14860,48893.04480000001,36
SB-20290,48347.341000000015,37
ZC-21910,48126.785,38
JH-15985,47729.948,39
NP-18700,47419.08250000001,40
AH-10690,47329.79399999998,41
JE-15610,46529.82599999999,42
AB-10060,46396.06999999999,43
JW-15220,46330.26400000002,44
JM-15865,45750.42599999998,45
RW-19540,44384.40099999998,46
LC-16885,44380.67400000002,47
PO-18850,44204.03419999999,48
BM-11650,43702.86699999998,49
NW-18400,43404.114000000016,50
Dp-13240,43192.61100000003,51
PP-18955,42455.51999999999,52
RH-19510,41772.83999999998,53
MS-17365,41089.809999999954,54
PS-19045,41061.78400000001,55
BB-11545,40594.37800000002,56
FH-14365,40101.96,57
YS-21880,39927.00399999999,58
AR-10540,39650.69799999999,59
GK-14620,38983.67000000003,60
JA-15970,38852.873999999974,61
NM-18445,38756.043999999994,62
JD-15895,38738.755999999994,63
SB-20185,38465.996,64
JE-15745,38402.704999999994,65
JG-15160,38198.392,66
CM-12655,38037.357599999996,67
VD-21670,37700.15399999999,68
MJ-17740,37693.37599999998,69
BH-11710,37532.05100000001,70
DM-13015,37484.172000000006,71
DR-12880,37483.20599999999,72
RL-19615,37409.459999999985,73
VW-21775,36676.202,74
QJ-19255,36650.038000000015,75
AD-10180,36605.99999999999,76
GM-14695,36299.76599999998,77
CB-12025,36169.42700000001,78
WB-21850,36148.859999999986,79
RM-19675,35806.386,80
KH-16510,35717.159,81
SD-20485,35521.45799999997,82
BF-11170,35447.82199999999,83
SC-20380,35365.084,84
CP-12340,35329.77500000001,85
KH-16690,35207.109,86
CS-12505,34140.40499999999,87
BD-11320,34033.070999999996,88
AM-10705,33923.16200000001,89
RB-19795,33799.866,90
KM-16375,33658.44599999999,91
AA-10315,33381.359999999986,92
SM-20950,33380.39200000002,93
NP-18325,33177.72000000001,94
AC-10450,33167.09599999999,95
MH-18115,33018.54300000001,96
DP-13390,32884.37400000002,97
EP-13915,32868.36079999999,98
YC-21895,32726.1,99
SP-20620,32641.91900000001,100
LW-17215,32523.114000000005,101
TS-21205,32226.64,102
TT-21460,32188.807999999983,103
MW-18220,32051.39999999999,104
TP-21415,31973.904799999993,105
DW-13480,31541.098000000005,106
MW-18235,31523.275999999998,107
HR-14830,31492.787,108
SC-20725,31357.210000000014,109
TW-21025,30987.725999999984,110
CP-12085,30984.602,111
LR-16915,30857.341999999975,112
RP-19390,30852.73999999997,113
MP-18175,30527.57,114
IL-15100,30244.435999999987,115
DH-13075,29597.221999999998,116
IM-15070,29582.924000000006,117
TT-21070,29493.552,118
KM-16720,29456.821999999986,119
PO-19180,29358.293,120
HK-14890,29266.783999999985,121
AJ-10780,29204.043999999998,122
LB-16795,29069.96399999997,123
AH-10210,28832.093999999997,124
RA-19915,28688.117000000013,125
JK-15730,28619.450000000004,126
JK-15640,28514.691999999985,127
BW-11110,28502.15799999999,128
TB-21520,28383.72799999997,129
SA-20830,28251.12549999999,130
ES-14080,27891.115999999987,131
KT-16480,27852.58839999999,132
SC-20050,27747.42200000001,133
DB-13270,27729.95700000001,134
GB-14575,27566.027999999977,135
RB-19465,27339.415999999997,136
AR-10825,27139.985999999986,137
AG-10900,27064.747000000003,138
SC-20770,26956.056999999993,139
KL-16555,26902.633999999984,140
LC-16930,26886.962000000014,141
AA-10645,26735.394999999993,142
TP-21130,26724.356,143
EM-14140,26629.982,144
MC-17425,26592.837999999996,145
KW-16435,26499.12000000001,146
BD-11500,26449.79699999999,147
AJ-10795,26348.941000000017,148
AI-10855,26254.73599999999,149
SC-20230,26231.757999999998,150
GZ-14470,26130.899999999987,151
SR-20740,26075.286000000007,152
EB-13840,26067.058,153
ND-18370,25688.338999999996,154
MA-17560,25683.721,155
JK-15205,25669.019999999993,156
DB-13060,25591.793999999987,157
TC-21295,25571.102000000006,158
AS-10225,25494.000000000007,159
TH-21550,25377.35599999999,160
BE-11335,25228.076,161
JF-15565,25189.932000000015,162
FH-14275,25144.254000000015,163
MY-18295,24806.396000000008,164
DK-13225,24755.044,165
CB-12535,24741.11550000001,166
PM-19135,24693.961999999996,167
SV-20785,24631.905000000013,168
DM-13345,24446.82199999998,169
FP-14320,24280.495999999996,170
SP-20860,24171.437999999987,171
SP-20920,23944.03899999999,172
CM-12715,23906.702400000013,173
MP-17965,23901.891999999996,174
SC-20305,23826.364000000005,175
DK-12895,23658.140000000014,176
LF-17185,23583.108999999993,177
GH-14425,23554.44200000001,178
GA-14515,23518.625999999997,179
KH-16630,23513.76600000001,180
DB-13555,23452.802799999998,181
KC-16540,23449.612,182
CC-12220,23415.172,183
NP-18670,23379.842,184
PW-19240,23269.864999999994,185
JS-15880,23208.07,186
FC-14335,23195.046000000006,187
RA-19885,22993.91400000001,188
RS-19765,22991.580000000005,189
AT-10735,22991.21399999998,190
OT-18730,22911.724,191
RO-19780,22892.82799999999,192
MC-17845,22834.263999999992,193
MM-17920,22764.429999999997,194
CA-11965,22738.32279999999,195
MG-17650,22711.676000000007,196
SJ-20125,22667.279999999984,197
MD-17350,22598.382,198
JK-15625,22560.17799999999,199
JK-16090,22485.96799999999,200
RD-19480,22458.23,201
FM-14290,22417.19800000001,202
SC-20260,22378.79299999999,203
HG-15025,22141.683999999994,204
LP-17095,21920.398999999994,205
CS-12400,21911.158499999998,206
RH-19495,21728.275999999994,207
BP-11185,21661.743,208
SZ-20035,21554.633,209
GM-14440,21496.920000000002,210
TB-21175,21474.123999999996,211
JP-15520,21437.644000000004,212
DL-13495,21235.921999999995,213
ES-14020,21062.757999999998,214
RW-19690,20973.846,215
AG-10675,20934.339599999996,216
ED-13885,20909.470000000005,217
PW-19030,20729.465999999993,218
EB-13705,20689.624,219
SF-20200,20536.686,220
FC-14245,20488.077999999994,221
SG-20080,20439.481000000003,222
BS-11380,20274.730000000003,223
TS-21655,20208.493999999995,224
SC-20020,20177.7636,225
DJ-13630,20138.398,226
DC-12850,20017.01799999999,227
AP-10915,19941.305999999975,228
DK-13375,19910.936000000005,229
KH-16330,19877.213999999996,230
RF-19345,19854.849999999995,231
SF-20965,19841.221000000005,232
RR-19525,19813.561999999994,233
BD-11605,19730.871,234
BS-11665,19728.709999999995,235
DV-13465,19715.886999999995,236
RW-19630,19641.900000000005,237
DL-12925,19633.199999999997,238
AS-10090,19531.809999999998,239
JO-15145,19529.699,240
DK-12835,19521.183999999997,241
AH-10075,19502.087,242
LC-16960,19479.775999999998,243
CT-11995,19451.397999999986,244
SR-20425,19400.880999999998,245
LW-16990,19381.807999999986,246
RS-19420,19327.739999999998,247
AS-10285,19273.671999999995,248
MP-17470,19236.731999999993,249
CS-12355,19212.962000000003,250
BT-11680,19180.501999999993,251
DG-13300,19174.91799999999,252
VP-21760,19161.705999999995,253
HG-14965,19105.074000000008,254
EB-13750,19001.331999999984,255
GM-14680,18981.778,256
CK-12205,18929.004999999997,257
KB-16240,18915.664999999997,258
JM-15250,18872.17399999999,259
JL-15505,18856.446000000007,260
MS-17770,18831.432000000015,261
RD-19900,18803.524000000005,262
TN-21040,18781.370999999996,263
SN-20710,18767.8092,264
SG-20605,18701.875999999993,265
KH-16360,18603.611999999997,266
PG-18820,18521.406999999992,267
GM-14455,18471.774,268
EB-14110,18426.826,269
TG-21310,18350.271999999997,270
KT-16465,18342.600000000002,271
SS-20410,18340.857000000004,272
SL-20155,18318.061999999994,273
CA-12775,18249.465999999993,274
AS-10045,18210.182000000008,275
CS-11950,18166.45499999999,276
EH-14125,18078.853000000003,277
LS-16975,17931.923999999988,278
MH-18025,17909.697999999993,279
FA-14230,17904.303999999996,280
NS-18640,17788.923000000006,281
TM-21010,17723.935999999998,282
TH-21115,17656.672000000002,283
CK-12325,17637.606000000003,284
LT-17110,17617.552000000007,285
BC-11125,17602.026,286
JK-16120,17594.934,287
DB-13120,17590.267999999996,288
SW-20455,17529.244,289
ML-17410,17529.05,290
RD-19585,17477.393999999997,291
CY-12745,17400.126000000004,292
ND-18460,17360.755,293
MG-18145,17343.541,294
MT-17815,17340.838999999996,295
DS-13180,17290.812799999992,296
PV-18985,17256.29600000001,297
CC-12430,17220.299999999985,298
BF-11020,17194.68600000001,299
CC-12685,17124.714999999993,300
AW-10930,17108.594,301
IM-15055,17090.16,302
LS-16945,17071.62,303
DB-12970,17035.377200000003,304
JM-16195,17003.526000000005,305
CV-12295,16983.778000000006,306
GH-14410,16846.206999999995,307
TS-21610,16811.284000000003,308
BG-11035,16793.747999999996,309
TB-21625,16786.068,310
RD-19660,16719.782000000007,311
SH-19975,16645.53950000001,312
JC-15775,16632.355000000003,313
PF-19165,16620.000000000004,314
EB-13870,16603.319000000003,315
MM-18055,16499.230999999992,316
KB-16585,16456.557999999986,317
LL-16840,16447.203999999998,318
JL-15850,16351.505999999994,319
MC-17275,16338.185999999987,320
ML-17395,16337.042999999992,321
JK-15370,16257.732000000007,322
JE-16165,16183.498,323
CS-12250,16180.795999999997,324
BT-11530,16106.991999999998,325
NH-18610,16039.740000000003,326
RB-19435,15978.436000000002,327
EA-14035,15964.974999999993,328
EJ-14155,15940.141000000007,329
DK-13090,15903.307000000003,330
CA-12265,15889.73719999999,331
FO-14305,15736.987999999998,332
KN-16390,15703.721999999994,333
RA-19285,15636.432,334
LC-17140,15630.611999999992,335
SO-20335,15615.475499999995,336
SU-20665,15572.263999999996,337
BO-11350,15516.47999999999,338
HA-14920,15505.008000000013,339
SC-20695,15458.408000000007,340
NS-18505,15455.213000000007,341
BT-11305,15405.955999999998,342
EM-13810,15402.010000000002,343
AG-10270,15391.557999999995,344
MZ-17515,15389.356000000002,345
CC-12610,15243.781000000006,346
CM-12160,15199.913999999999,347
HF-14995,15198.964000000005,348
LC-16870,15157.131999999992,349
FM-14380,15139.565999999997,350
JS-16030,15098.944000000003,351
DJ-13510,15010.138,352
AC-10615,14998.555999999999,353
PO-18865,14959.313999999995,354
BS-11755,14954.099999999997,355
NZ-18565,14929.960000000003,356
CC-12145,14829.900000000007,357
MN-17935,14814.241999999998,358
NC-18340,14768.453999999996,359
MH-17455,14737.082000000004,360
BS-11590,14729.577999999994,361
VM-21685,14729.215999999999,362
GZ-14545,14727.722000000007,363
MA-17995,14719.733999999999,364
TH-21100,14536.974,365
AH-10465,14438.6316,366
BP-11095,14397.29,367
DF-13135,14343.233999999999,368
BP-11290,14302.797,369
MH-17290,14290.381000000001,370
FM-14215,14245.62,371
CK-12595,14236.499999999996,372
JF-15415,14228.698,373
CV-12805,14221.9636,374
MC-17590,14175.056999999999,375
JG-15115,14151.975999999995,376
CL-12700,14121.536000000002,377
MG-17680,14101.187999999998,378
RF-19735,14047.795999999991,379
AG-10495,14032.078999999998,380
EM-13825,13946.158000000001,381
XP-21865,13922.458000000004,382
MK-17905,13814.168000000005,383
LH-16900,13771.931999999995,384
CM-12235,13723.022000000003,385
JF-15190,13677.535999999998,386
FH-14350,13627.733999999995,387
CC-12670,13618.151500000005,388
BE-11410,13568.638000000003,389
MC-17605,13549.191999999994,390
JH-16180,13538.344000000001,391
KD-16615,13461.060000000001,392
TS-21505,13459.674,393
MY-17380,13455.712000000003,394
LW-16825,13428.360999999997,395
AR-10405,13416.728000000008,396
NC-18415,13313.940000000002,397
MC-18100,13313.930000000004,398
GG-14650,13296.007999999993,399
PF-19225,13236.727999999992,400
DB-13210,13228.928999999996,401
MH-17785,13222.678000000002,402
JL-15235,13222.199999999995,403
JR-16210,13210.136000000002,404
TB-21280,13190.750000000002,405
JG-15310,13186.796000000002,406
GW-14605,13134.119,407
NR-18550,13105.986999999992,408
BT-11395,13093.144000000002,409
PS-18760,13088.878999999999,410
SH-20395,13084.218000000003,411
KN-16450,13031.812000000002,412
DB-12910,13029.649000000001,413
RP-19855,13024.266,414
DP-13105,12989.289999999997,415
HA-14905,12979.899999999998,416
EJ-13720,12973.074000000002,417
JD-15790,12914.101999999997,418
CR-12580,12893.102,419
KN-16705,12888.180000000004,420
DN-13690,12838.73999999999,421
EN-13780,12829.446000000002,422
KM-16225,12805.447999999999,423
NM-18520,12740.097,424
KC-16255,12622.983999999995,425
SH-20635,12578.342,426
RH-19600,12514.440000000006,427
TG-21640,12448.010999999999,428
ML-17755,12431.463999999994,429
RB-19705,12404.700000000003,430
LC-17050,12387.003999999997,431
TS-21430,12324.840000000002,432
AF-10870,12317.458000000002,433
CD-11920,12203.817999999994,434
NF-18595,12188.872000000003,435
DJ-13420,12075.119999999999,436
VB-21745,12033.546000000002,437
HP-14815,11941.864,438
DB-13615,11934.300000000001,439
PG-18895,11922.913999999992,440
NB-18655,11835.649,441
SW-20275,11799.900000000001,442
LD-17005,11771.584000000003,443
TP-21565,11619.740000000002,444
JF-15355,11471.043999999998,445
JO-15280,11469.302,446
ME-17725,11450.703199999998,447
SV-20935,11420.940999999997,448
KD-16345,11333.764000000001,449
GD-14590,11328.47,450
SG-20470,11308.797999999999,451
SC-20440,11249.998,452
BG-11695,11245.071999999998,453
NG-18355,11217.430000000002,454
CD-12790,11164.431999999999,455
SN-20560,11162.518,456
CB-12415,11137.609999999999,457
JB-16045,11049.900999999998,458
PR-18880,11041.078000000005,459
AJ-10945,11035.439999999997,460
PC-18745,10992.413999999999,461
EG-13900,10992.119999999995,462
LR-17035,10988.286,463
PJ-19015,10945.383999999998,464
NC-18625,10930.491999999997,465
JM-15265,10824.846000000001,466
JB-15400,10749.705,467
AA-10480,10697.222,468
CC-12100,10591.379999999997,469
DS-13030,10573.262999999997,470
AH-10030,10468.2,471
VT-21700,10419.596000000003,472
AH-10120,10413.163999999997,473
MV-18190,10407.473999999998,474
JM-15535,10400.693000000001,475
BE-11455,10365.901999999993,476
BW-11200,10357.379999999996,477
JP-16135,10246.260000000002,478
TZ-21580,10243.685999999994,479
DB-13405,10215.298000000004,480
BP-11155,10152.895999999995,481
DK-12985,10122.19,482
RA-19945,10121.572499999998,483
CA-12055,10078.324000000002,484
CM-11815,10043.338,485
LH-17155,9961.854999999996,486
CC-12475,9956.688,487
JP-15460,9921.483000000004,488
CM-12115,9863.82,489
EB-13975,9859.555,490
AP-10720,9831.303999999996,491
KE-16420,9760.0832,492
AZ-10750,9732.168,493
MS-17710,9680.351999999999,494
CR-12730,9603.299999999997,495
SP-20650,9591.065999999999,496
DE-13255,9530.764000000001,497
AH-10195,9524.701999999997,498
BF-11215,9511.012000000002,499
CK-12760,9492.659,500
