"Customer ID",MaxSales
CG-12520,731.94
DV-13045,721.88
SO-20335,957.58
BH-11710,1706.184
AA-10480,479.97
IM-15070,1819.86
HP-14815,1242.9
PK-19075,4305.552
AG-10270,1336.44
ZD-21925,823.96
KB-16585,1013.832
SF-20065,254.9
EB-13870,1044.63
EH-13945,100.704
TB-21520,3083.43
MA-17560,799.984
GH-14485,1097.544
SN-20710,532.4
LC-16930,2396.4
RA-19885,1215.92
ES-14080,1319.8
ON-18715,630.024
PO-18865,604.752
LH-16900,638.82
DP-13000,368.91
JM-15265,1029.95
TB-21055,319.41
KM-16720,979.95
PS-18970,359.32
BS-11590,1113.024
KD-16270,4899.93
HM-14980,503.96
JE-15745,2453.43
KB-16600,629.95
SC-20770,718.12
DN-13690,842.72
JC-16105,292.272
CS-12400,743.99
PG-18895,503.96
GM-14455,824.95
JS-15685,389.06
KB-16315,479.984
RB-19705,1079.85
PN-18775,563.94
KD-16345,861.76
ER-13855,876.3
RB-19465,1049.2
GZ-14470,971.5
LC-16870,339.96
JM-15250,908.82
PA-19060,339.96
CV-12805,856.66
CL-12565,2548.56
RC-19960,275.49
DK-13090,959.984
GG-14650,435.17
SC-20725,1114.4
AD-10180,2999.95
PF-19165,1266.86
TS-21610,1212.96
LS-16975,1049.2
DW-13585,482.94
LC-16885,3050.38
JD-15895,2104.55
SH-19975,424.96
SG-20080,1295.84
HA-14920,671.93
MG-17680,1497.67
JE-16165,1951.84
TW-21025,2003.92
SP-20650,279.96
NK-18490,284.08
DB-13060,1322.93
NP-18670,2154.9
TT-21070,2404.704
EM-13960,572.8
RD-19900,862.344
MJ-17740,4476.8
BM-11140,8159.952
CS-12130,340.144
JB-15400,387.99
SJ-20500,751.92
JK-15640,2395.2
DK-13150,408.744
RM-19675,2879.952
SK-19990,629.96
FM-14290,1499.97
AM-10360,239.97
MP-17470,899.14
MZ-17515,2033.584
CB-12025,999.432
VM-21685,1294.75
FH-14365,3149.93
MB-17305,408.01
BS-11755,779.8
LC-17140,1071
HK-14890,2399.96
LE-16810,641.96
JH-15985,4297.644
MS-17980,255.97
VW-21775,1247.64
JH-15910,302.38
JB-15925,479.99
DS-13180,622.45
VD-21670,1399.93
EA-14035,599.99
DB-13120,1548.99
KL-16645,8187.65
DW-13480,2001.86
LH-17155,338.04
KC-16540,3347.37
DL-13315,361.92
DR-12880,899.91
CC-12670,917.9235
Dl-13600,658.75
SB-20290,3059.982
RC-19825,328.224
AH-10210,1577.94
CB-12535,1564.29
CA-12310,481.32
KH-16690,3499.93
BB-10990,344.704
AG-10495,516.96
JO-15280,1038.84
AH-10195,961.48
NZ-18565,838.38
KL-16555,1359.96
AS-10225,1394.95
CR-12625,289.2
SH-20395,945.04
BP-11185,1119.89
TS-21205,2239.94
AG-10525,559.71
SP-20860,1684.752
NM-18445,3991.98
FA-14230,859.2
GK-14620,2575.944
DJ-13510,1603.14
PO-18850,4367.9
JL-15850,1119.984
DB-13615,959.984
AC-10420,698.352
CC-12550,47.98
TD-20995,1013.49
AB-10060,4355.17
JL-15505,1473.1
VB-21745,756.8
KW-16435,3080
JD-16060,221.16
MK-17905,1043.92
GT-14755,61.06
AG-10900,1023.94
MM-18280,207.984
AR-10405,1488.424
RA-19915,1983.97
AS-10285,2678.94
LA-16780,3504.9
DO-13435,375.46
DK-13225,1295.78
NG-18430,540.05
MV-18190,863.93
JG-15115,1799.97
BP-11095,583.8
VP-21730,546.06
SS-20140,411.98
AG-10675,2396.27
LF-17185,2177.584
RF-19840,383.64
KH-16510,1336.83
KC-16675,390.272
CJ-12010,3999.95
PB-19150,464.85
MP-17965,1652.94
NF-18385,2025.36
SD-20485,3812.97
KH-16630,1259.93
RB-19795,2065.32
MK-18160,571.44
PO-19180,1007.98
BB-11545,1779.9
TB-21595,754.45
RB-19360,13999.96
EB-13705,1293.49
SC-20095,9449.95
TN-21040,1272.63
JS-15940,254.744
MH-17785,730.2
JP-15520,1089.75
JE-15475,772.47
JG-15805,704.25
XP-21865,337.09
EM-14065,159.98
MT-18070,514.17
SA-20830,2735.952
CW-11905,592.74
AJ-10960,449.15
SS-20590,199.99
RO-19780,1598.06
MD-17350,1080.1
MY-17380,801.57
CM-12385,6354.95
LS-17245,279.96
BN-11515,454.9
DB-13210,887.271
MC-17605,674.06
BD-11605,1325.85
PH-18790,683.952
MG-18145,1115.91
KB-16240,1287.45
JC-15340,47.94
RL-19615,1362.9
AA-10375,499.98
EP-13915,956.6648
DK-12985,646.2
BD-11500,2939.93
LM-17065,646.78
AS-10135,41.28
BD-11320,2567.84
GT-14710,4007.84
AJ-10945,638.73
OT-18730,1369.764
LP-17080,451.152
CA-12775,1228.47
JF-15490,291.17
FP-14320,1317.492
EB-13840,3393.68
JF-15415,1471.96
SF-20200,2665.62
TG-21640,1125.49
CS-11950,585.552
CC-12145,1919.98
DV-13465,899.95
BD-11725,675.06
ZC-21910,1516.2
MS-17830,239.372
LR-16915,1199.98
TP-21130,1586.69
CK-12205,1039.992
AS-10240,142.78
AR-10510,89.97
NB-18655,383.44
GD-14590,1099.5
CK-12595,431.16
